date,open,high,low,close,volume
2023-06-28,108.21,111.78,107.63,110.17,67534134.0
2023-06-29,112.065,112.7599,109.84,111.24,58347174.0
2023-06-30,113.03,114.69,112.41,113.91,53378774.0
2023-07-03,115.16,116.73,114.51,115.82,31859976.0
2023-07-05,116.1,117.662,113.855,113.95,49501584.0
2023-07-06,112.07,113.79,110.31,113.48,42411840.0
2023-07-07,114.16,115.33,113.04,113.17,37211287.0
2023-07-10,113.0,113.61,109.88,113.58,49328004.0
2023-07-11,111.66,113.27,109.5,111.32,59899536.0
2023-07-12,112.89,115.3999,112.3101,114.58,57993090.0
2023-07-13,115.76,116.16,113.575,115.92,49206695.0
2023-07-14,116.17,122.12,115.25,115.94,91927197.0
2023-07-17,115.95,118.8399,112.73,118.32,68587888.0
2023-07-18,117.55,118.43,115.192,117.93,57980077.0
2023-07-19,121.3,121.6699,115.55,116.43,70363051.0
2023-07-20,114.96,115.05,109.24,110.25,76340398.0
2023-07-21,110.97,112.3,109.54,110.95,76310282.0
2023-07-24,110.617,111.31,108.55,110.61,45637998.0
2023-07-25,111.14,114.05,111.0,113.0,44916262.0
2023-07-26,111.91,112.36,109.3,110.09,51721689.0
2023-07-27,111.79,115.08,110.51,111.1,70677972.0
2023-07-28,113.38,114.86,112.44,112.96,55525965.0
2023-07-31,114.16,114.68,112.35,114.4,54125786.0
2023-08-01,114.26,118.19,113.16,117.6,97282727.0
2023-08-02,119.49,119.5,107.38,109.35,173371510.0
2023-08-03,108.95,114.96,108.95,113.15,90785958.0
2023-08-04,114.48,118.85,113.96,115.82,83169686.0
2023-08-07,116.36,119.08,115.49,116.81,65854765.0
2023-08-08,114.94,115.46,111.41,113.23,54107529.0
2023-08-09,112.89,113.15,108.78,110.47,56257067.0
2023-08-10,111.3,113.89,109.47,110.23,57277992.0
2023-08-11,108.85,109.07,106.48,107.57,55667745.0
2023-08-14,106.75,111.99,105.42,111.98,57421820.0
2023-08-15,111.99,113.18,110.17,111.35,53816569.0
2023-08-16,110.0863,110.4388,106.98,107.19,54317698.0
2023-08-17,107.62,107.85,104.1,104.44,59058775.0
2023-08-18,102.4,106.07,101.68,105.45,59906537.0
2023-08-21,106.2,108.54,105.67,108.22,49219240.0
2023-08-22,109.4,109.72,104.85,105.66,47335086.0
2023-08-23,105.65,110.08,105.0,109.43,54656329.0
2023-08-24,111.06,111.64,100.871,101.8,109179129.0
2023-08-25,101.165,104.12,99.58,102.25,74793086.0
2023-08-28,103.47,104.07,100.8944,102.61,55386803.0
2023-08-29,102.11,106.57,101.79,105.92,50850289.0
2023-08-30,105.402,107.67,104.5,106.59,54844848.0
2023-08-31,106.19,108.06,104.86,105.72,58918970.0
2023-09-01,107.0,110.06,106.61,109.45,54856148.0
2023-09-05,109.0,111.82,106.3,110.78,66042191.0
2023-09-06,110.56,111.33,108.22,109.28,47736701.0
2023-09-07,106.14,107.69,105.09,106.59,49080149.0
