date,open,high,low,close,volume
2023-06-20,122.93,124.57,122.14,123.1,26097492.0
2023-06-21,122.4,122.66,120.1,120.55,30306336.0
2023-06-22,120.0,123.24,118.83,123.15,26952246.0
2023-06-23,121.38,122.7879,121.06,122.34,34913637.0
2023-06-26,120.76,122.0,118.265,118.34,33969897.0
2023-06-27,117.08,119.08,116.1,118.33,39535936.0
2023-06-28,117.09,120.39,116.85,120.18,27074649.0
2023-06-29,119.24,120.06,118.295,119.1,24090902.0
2023-06-30,120.17,121.08,119.69,119.7,29532241.0
2023-07-03,119.24,120.19,118.8182,119.9,14467850.0
2023-07-05,119.24,122.61,119.23,121.75,27508009.0
2023-07-06,119.795,120.3,118.4,120.11,24772501.0
2023-07-07,120.1,121.05,119.4,119.48,21709549.0
2023-07-10,118.3,118.305,116.135,116.45,35315235.0
2023-07-11,116.29,117.71,115.35,117.14,23073882.0
2023-07-12,118.8,120.33,118.4145,118.93,30404409.0
2023-07-13,120.93,124.83,120.45,124.54,44297915.0
2023-07-14,124.8,126.775,123.49,125.42,33283076.0
2023-07-17,125.94,127.0999,124.195,124.65,25716215.0
2023-07-18,124.6,124.68,122.96,123.76,26226447.0
2023-07-19,124.6,125.18,121.8,122.03,37224033.0
2023-07-20,121.42,124.09,118.22,119.2,37882763.0
2023-07-21,120.62,120.99,118.73,120.02,71606474.0
2023-07-24,121.66,123.0,120.98,121.53,29692367.0
2023-07-25,121.36,123.145,121.02,122.21,52429551.0
2023-07-26,130.07,130.98,128.32,129.27,61682093.0
2023-07-27,131.67,133.24,128.79,129.4,44952074.0
2023-07-28,130.78,133.74,130.57,132.58,36534508.0
2023-07-31,132.73,133.525,131.775,132.72,28036031.0
2023-08-01,130.775,132.63,130.68,131.55,23276440.0
2023-08-02,129.45,130.09,127.56,128.38,26273258.0
2023-08-03,127.97,129.385,127.42,128.45,20159528.0
2023-08-04,129.28,131.51,127.91,128.11,26147158.0
2023-08-07,129.16,131.61,129.02,131.53,22743790.0
2023-08-08,130.62,131.51,129.545,131.4,23514181.0
2023-08-09,131.66,132.04,129.0,129.66,24912918.0
2023-08-10,131.32,132.05,129.45,129.69,20856154.0
2023-08-11,128.66,129.93,128.17,129.56,19591080.0
2023-08-14,129.39,131.37,128.96,131.33,24685408.0
2023-08-15,131.1,131.42,129.28,129.78,19770732.0
2023-08-16,128.7,130.2809,127.865,128.7,25216068.0
2023-08-17,129.8,131.99,129.29,129.92,33446280.0
2023-08-18,128.51,129.25,126.3824,127.46,30354550.0
2023-08-21,127.175,128.725,126.56,128.37,24798729.0
2023-08-22,128.51,130.278,128.32,129.08,22067520.0
2023-08-23,130.18,133.41,129.87,132.37,27819713.0
2023-08-24,133.95,134.25,129.57,129.78,28305694.0
2023-08-25,129.54,130.76,127.25,129.88,26762891.0
2023-08-28,131.31,132.54,130.14,131.01,20543266.0
2023-08-29,132.24,136.57,132.24,134.57,43075556.0
2023-08-30,134.78,136.275,134.07,135.88,27845769.0
2023-08-31,136.01,138.0,135.79,136.17,30053800.0
2023-09-01,137.455,137.455,134.85,135.66,21433687.0
2023-09-05,135.44,136.42,134.5801,135.77,19403112.0
